year,"round(avg(percent_education_of_gdp), 2)"
1970,3.9
1971,3.84
1972,3.93
1973,3.97
1974,3.98
1975,4.07
1976,4.19
1977,4.42
1978,4.22
1979,4.21
1980,4.08
1981,4.12
1982,4.02
1983,4.2
1984,4.35
1985,4.1
1986,4.12
1987,4.17
1988,4.33
1989,4.18
1990,3.89
1991,4.13
1992,4.59
1993,4.58
1994,5.11
1995,4.07
1996,4.14
1997,4.11
1998,4.03
1999,4.48
2000,4.26
2001,4.48
2002,4.46
2003,4.57
2004,4.24
2005,4.42
2006,4.32
2007,4.35
2008,4.51
2009,4.8
2010,4.59
2011,4.26
2012,4.3
2013,4.42
2014,4.51
2015,4.6
2016,4.48
2017,4.45
2018,4.15
2019,4.08
